Name                                                                            Stmts   Miss   Cover   Missing
ciris_engine/logic/handlers/control/defer_handler.py                               76     60  21.05%   20-29, 37-157
ciris_engine/logic/handlers/external/speak_handler.py                              90     71  21.11%   21-36, 48-182
ciris_engine/logic/adapters/tool_registry.py                                       56     44  21.43%   7-8, 19-21, 25-26, 30-34, 38, 42, 46-72, 75, 79-112
ciris_engine/logic/handlers/memory/forget_handler.py                               88     69  21.59%   20-127, 134-138, 141-152
ciris_engine/logic/persistence/models/deferral.py                                  37     29  21.62%   10-26, 33-62
ciris_engine/logic/processors/support/task_manager.py                             104     81  22.12%   14, 28-30, 40-78, 85-103, 108-111, 116-124, 128-134, 138-199, 203, 207, 211-223
ciris_engine/logic/infrastructure/sub_services/configuration_feedback_loop.py     273    211  22.71%   16, 72-78, 90-127, 138-166, 170-192, 196-256, 260-310, 314-366, 371, 402-403, 413-433, 443-462, 466-517, 523, 529, 533-574, 578-588, 593-604, 609-622, 627-630, 634-650, 658, 663-668, 672, 676-677, 699-700
ciris_engine/logic/adapters/cirisnode_client.py                                   123     95  22.76%   23-24, 33-55, 59-75, 79, 83-85, 89, 92, 95-102, 110-117, 125-132, 141-156, 160-175, 179-194, 198-213, 217-232, 241-257, 267-289
ciris_engine/logic/handlers/external/tool_handler.py                               68     52  23.53%   26-106
ciris_engine/logic/buses/tool_bus.py                                               96     73  23.96%   16, 47-70, 85-98, 107-120, 129-142, 146-153, 161-174, 181-194, 198-205, 209
ciris_engine/logic/processors/states/shutdown_processor.py                        148    112  24.32%   26, 64, 68, 76-147, 154-226, 231-249, 260-312, 320-324
ciris_engine/logic/dma/action_selection/special_cases.py                           61     46  24.59%   17-52, 57-89, 94-111, 116-139
ciris_engine/logic/processors/support/thought_manager.py                          103     77  25.24%   34-81, 85-93, 101-130, 134, 145-160, 170-196, 205-209, 213, 217
ciris_engine/logic/processors/support/dma_orchestrator.py                         142    106  25.35%   34, 82-147, 157-243, 255-318
ciris_engine/logic/services/adaptation/self_configuration.py                      235    175  25.53%   17, 88-110, 114-125, 129-158, 166-188, 194-214, 223-273, 285-299, 303-322, 330-347, 351-380, 384-401, 406-413, 418-430, 434-444, 448, 466, 488, 499-540, 548-559, 567-597, 609-627, 636-664
ciris_engine/logic/utils/graphql_context_provider.py                               78     58  25.64%   17-18, 21-38, 47, 53-131
ciris_engine/logic/infrastructure/handlers/action_dispatcher.py                    74     55  25.68%   36, 53-161
ciris_engine/logic/conscience/core.py                                             169    125  26.04%   56, 60-62, 66-74, 78-82, 86-138, 148-158, 166-204, 214-248, 256-297, 307-324, 332-376, 386-402
ciris_engine/logic/persistence/models/thoughts.py                                 152    112  26.32%   15-29, 32-55, 58-69, 73, 78-91, 103-105, 110-120, 133-134, 150-178, 184-195, 199-217
ciris_engine/logic/utils/runtime_utils.py                                          38     28  26.32%   15, 22-56
ciris_engine/logic/services/governance/filter.py                                  280    205  26.79%   52, 63, 78-80, 188-251, 271-320, 324-337, 343, 347-368, 372-379, 383-389, 393-397, 401-407, 411-425, 429-436, 440-452, 457, 460, 471-473, 477-495, 506-524, 528-546, 550-551, 566-567, 584
ciris_engine/logic/audit/hash_chain.py                                            134     98  26.87%   31, 35-36, 47-61, 65-76, 95, 98-100, 104-184, 188-224, 228-259
ciris_engine/logic/processors/states/solitude_processor.py                        155    113  27.10%   54, 58, 65-106, 119-130, 134-163, 170-201, 210-229, 234-247, 251-252, 256-262, 273-286, 290-292, 296-298, 309-311, 315-319
ciris_engine/logic/processors/states/dream_processor.py                           572    414  27.62%   32-35, 156-158, 165-166, 180-184, 188-285, 289-322, 331-379, 383-413, 417-434, 438-502, 508-517, 521-569, 573-595, 599-607, 611-614, 623-650, 654-664, 668-698, 702-733, 737-770, 779-839, 854-855, 870-871, 885-887, 920-921, 927-956, 960-992, 996-1018, 1022-1054, 1058-1108, 1112-1140, 1144-1161, 1167-1168, 1173-1174, 1178, 1182, 1187-1198, 1217-1237
ciris_engine/logic/buses/memory_bus.py                                            130     93  28.46%   9, 66-85, 102-116, 129-148, 162-175, 185-198, 209-225, 240-256, 267-280, 285-292, 296-303, 309
ciris_engine/logic/processors/states/work_processor.py                            131     92  29.77%   9-11, 46-47, 51, 63, 67, 71-135, 139-165, 169, 173-200, 207-215, 219, 227, 240, 245-257, 261-262, 266-278
ciris_engine/protocols/runtime/base.py                                             10      7  30.00%   11-17
ciris_engine/logic/buses/llm_bus.py                                               253    177  30.04%   11, 48-50, 55-57, 84-92, 96-104, 108-116, 120-134, 196-275, 294, 307-322, 329-332, 341-381, 388-392, 396-402, 406-413, 417-424, 434-502, 506-522, 526-539, 543-550, 554-561, 565-571, 575-578
ciris_engine/logic/dma/action_selection_pdma.py                                    96     67  30.21%   79-104, 113-127, 133-142, 152-193, 198-229, 241-245
ciris_engine/logic/persistence/analytics.py                                        45     31  31.11%   11-19, 23-29, 33, 37-45, 49, 53-54, 58-59
ciris_engine/logic/persistence/models/correlations.py                             194    133  31.44%   28, 57-59, 62-88, 91-131, 135-189, 205, 216-218, 221-223, 240-241, 260, 272-278, 299-301, 308-406
ciris_engine/logic/dma/dma_executor.py                                             69     47  31.88%   24, 39-70, 78-103, 109, 118, 124-136
ciris_engine/logic/adapters/cli/cli_observer.py                                   156    106  32.05%   61-62, 71-88, 99-100, 109-138, 142-155, 164-185, 187-188, 191-192, 196-221, 224-253, 260-264, 269-272
ciris_engine/logic/dma/dsdma_base.py                                              101     68  32.67%   62-64, 89-97, 101-226, 240-248
ciris_engine/logic/adapters/base_observer.py                                      116     78  32.76%   61-63, 66-85, 97-113, 119, 122-145, 148-170, 177-190, 193-247, 253-311, 316-317
ciris_engine/logic/adapters/cli/cli_adapter.py                                    221    148  33.03%   73-83, 90-113, 126-156, 169, 182-240, 252, 256, 269-279, 287, 293, 303-331, 334-336, 343-355, 359-371, 375-387, 391-392, 425-446, 452, 456-457, 473, 477-503, 507-511, 531-536, 540-547, 551-559
